strategy,date,action,basket_drawdown_from_1y_high,st_gain,lt_gain,portfolio_value
monthly_gate_15pct,2025-05-30,gld_to_basket,-0.13548843604659289,539371.5266169156,0.0,3632091.797030296
monthly_gate_20pct,2018-10-31,basket_to_gld,-0.2341110822796829,0.0,404794.86219559604,682837.5011734004
monthly_gate_20pct,2019-02-28,gld_to_basket,-0.14664639642474964,42652.40172463283,0.0,597645.3525074434
monthly_gate_20pct,2022-04-29,basket_to_gld,-0.3524884832301598,0.0,941681.40271471,1521845.5137751347
monthly_gate_20pct,2023-03-31,gld_to_basket,-0.04679420740699891,42686.95116588916,0.0,1238238.5363741466
monthly_gate_20pct,2025-03-31,basket_to_gld,-0.2852586989776401,0.0,1625997.3959380358,2848364.9775141785
monthly_gate_20pct,2025-05-30,gld_to_basket,-0.13548843604659289,152827.4310218296,0.0,2998191.216127472
monthly_gate_25pct,2018-12-31,basket_to_gld,-0.3104609397207999,0.0,336656.08724377264,614766.8649965288
monthly_gate_25pct,2019-01-31,gld_to_basket,-0.2180109192952726,14529.220209616004,0.0,517345.0574081275
monthly_gate_25pct,2022-04-29,basket_to_gld,-0.3524884832301598,0.0,951909.3497192964,1462808.802260236
monthly_gate_25pct,2023-02-28,gld_to_basket,-0.22302966713887884,-45712.62890630588,0.0,1087422.676037883
monthly_gate_25pct,2025-03-31,basket_to_gld,-0.2852586989776401,0.0,1848650.789441476,2933137.3920138795
monthly_gate_25pct,2025-05-30,gld_to_basket,-0.13548843604659289,157375.8475456182,0.0,3087422.726319938
